C1 C2
False Argentina
False Peru
False Argentina
True Ecuador
False Venezuela
True Ecuador
False Venezuela
False Venezuela
True Colombia
True Peru
True Ecuador
False Venezuela
True Argentina
False Ecuador
False Ecuador
False Colombia
True Venezuela
False Argentina
True Mexico
False Argentina
False Peru
False Argentina
False Mexico
True Venezuela
True Ecuador
False Venezuela
False Venezuela
True Peru
True Mexico
False Mexico
True Argentina
True Colombia
False Venezuela
False Ecuador
False Venezuela
True Venezuela
True Argentina
False Ecuador
True Ecuador
True Mexico
False Peru
True Venezuela
False Ecuador
True Ecuador
True Argentina
False Ecuador
False Mexico
False Peru
True Venezuela
False Peru
False Ecuador
True Mexico
True Argentina
True Venezuela
True Colombia
False Colombia
False Mexico
False Mexico
False Peru
False Peru
True Mexico
False Venezuela
True Venezuela
True Colombia
False Ecuador
False Colombia
False Argentina
False Ecuador
True Argentina
False Ecuador
False Mexico
False Argentina
True Argentina
False Argentina
False Peru
False Peru
False Colombia
False Argentina
True Venezuela
False Venezuela
True Ecuador
True Argentina
True Argentina
True Peru
True Ecuador
True Venezuela
False Colombia
True Mexico
False Colombia
True Argentina
False Argentina
False Peru
False Venezuela
True Argentina
True Venezuela
True Ecuador
True Venezuela
True Colombia
True Venezuela
False Venezuela 
